symbol,entry_time,direction,entry,sl,tp,outcome,pnl_r,mfe_r,mae_r,duration_h,periodo
BTCUSDT,2023-10-06 14:00:00+00:00,long,27654.7,27376.4482,28350.3294,tp,2.5,2.858,0.141,7,2023
BTCUSDT,2023-10-10 08:00:00+00:00,long,27663.7,27511.7399,28043.6003,sl,-1.0,0.046,1.166,3,2023
BTCUSDT,2023-10-13 15:00:00+00:00,short,26693.0,26846.6946,26308.7636,sl,-1.0,0.117,2.635,5,2023
BTCUSDT,2023-10-19 10:00:00+00:00,long,28460.9,28270.5455,28936.7863,tp,2.5,3.883,0.362,16,2023
BTCUSDT,2023-10-29 08:00:00+00:00,long,34257.9,34079.9148,34702.8631,tp,2.5,2.899,0.537,9,2023
BTCUSDT,2023-10-30 09:00:00+00:00,long,34537.4,34255.0239,35243.3404,sl,-1.0,1.242,1.726,8,2023
BTCUSDT,2023-11-06 09:00:00+00:00,long,35139.9,34841.906,35884.885,sl,-1.0,0.537,1.07,9,2023
BTCUSDT,2023-12-13 14:00:00+00:00,long,41459.6,40993.9612,42623.6969,tp,2.5,3.14,0.012,5,2023
BTCUSDT,2023-12-15 09:00:00+00:00,long,42859.8,42410.0479,43984.1803,sl,-1.0,0.134,1.441,4,2023
BTCUSDT,2023-12-23 14:00:00+00:00,long,43818.1,43530.3822,44537.3945,sl,-1.0,0.614,1.265,15,2023
BTCUSDT,2023-12-25 13:00:00+00:00,long,43714.1,43373.8448,44564.7381,sl,-1.0,0.333,1.057,7,2023
BTCUSDT,2023-12-27 10:00:00+00:00,long,43238.1,42731.9,44503.6,sl,-1.0,0.077,1.01,3,2023
ETHUSDT,2022-01-04 10:00:00+00:00,long,3805.02,3760.1697,3917.1457,sl,-1.0,1.966,1.077,9,2022
ETHUSDT,2022-01-16 08:00:00+00:00,short,3310.72,3345.2679,3224.3503,sl,-1.0,1.207,1.493,6,2022
ETHUSDT,2022-01-23 15:00:00+00:00,short,2431.04,2512.6273,2227.0717,sl,-1.0,0.773,1.435,8,2022
ETHUSDT,2022-03-12 14:00:00+00:00,short,2571.51,2604.637,2488.6925,sl,-1.0,0.136,1.464,3,2022
ETHUSDT,2022-03-13 09:00:00+00:00,short,2578.91,2602.9791,2518.7373,tp,2.5,3.445,0.668,13,2022
ETHUSDT,2022-03-21 09:00:00+00:00,long,2911.51,2868.5546,3018.8985,tp,2.5,2.967,0.705,18,2022
ETHUSDT,2022-03-23 15:00:00+00:00,long,3029.63,2984.8432,3141.597,sl,-1.0,0.314,1.626,2,2022
ETHUSDT,2022-03-30 08:00:00+00:00,long,3402.18,3351.1039,3529.8703,sl,-1.0,0.339,1.12,7,2022
ETHUSDT,2022-04-16 15:00:00+00:00,short,3015.82,3060.0,2905.37,sl,-1.0,0.079,1.679,7,2022
ETHUSDT,2022-04-26 14:00:00+00:00,short,2894.71,2944.6,2769.985,tp,2.5,2.675,0.284,9,2022
ETHUSDT,2022-04-27 14:00:00+00:00,short,2841.34,2908.89,2672.465,sl,-1.0,0.121,1.085,11,2022
ETHUSDT,2022-05-03 14:00:00+00:00,short,2821.0,2855.3274,2735.1815,sl,-1.0,1.981,1.427,20,2022
ETHUSDT,2022-06-09 14:00:00+00:00,short,1789.77,1818.1051,1718.9323,sl,-1.0,0.158,1.018,3,2022
ETHUSDT,2022-06-25 15:00:00+00:00,short,1183.44,1212.18,1111.5901,sl,-1.0,0.153,1.107,3,2022
ETHUSDT,2022-06-28 16:00:00+00:00,short,1188.82,1215.6545,1121.7338,tp,2.5,2.851,0.036,14,2022
