asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
SOLUSDT,0.5 | 1.5 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.164,1.218,False,False,False,
SOLUSDT,0.5 | 1.5 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.029,1.427,False,False,False,
SOLUSDT,0.5 | 1.5 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.155,1.498,False,False,False,
SOLUSDT,0.5 | 2.0 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.41,1.252,False,False,False,
SOLUSDT,0.5 | 2.0 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.175,1.417,False,False,False,
SOLUSDT,0.5 | 2.0 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.26,1.433,False,False,False,
SOLUSDT,0.5 | 2.5 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.487,1.264,False,False,False,
SOLUSDT,0.5 | 2.5 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.21,1.4,False,False,False,
SOLUSDT,0.5 | 2.5 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.292,1.416,False,False,False,
SOLUSDT,0.75 | 1.5 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.092,1.235,False,False,False,
SOLUSDT,0.75 | 1.5 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",0.953,1.388,False,False,False,
SOLUSDT,0.75 | 1.5 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.065,1.44,False,False,False,
SOLUSDT,0.75 | 2.0 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.3,1.149,False,False,False,
SOLUSDT,0.75 | 2.0 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.09,1.308,False,False,False,
SOLUSDT,0.75 | 2.0 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.171,1.324,False,False,False,
SOLUSDT,0.75 | 2.5 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.4,1.23,False,False,False,
SOLUSDT,0.75 | 2.5 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.132,1.353,False,False,False,
