asset,year,role,session,distance,activation,be,candidate,evidence,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be_exits,reason_stop,reason_timeout
ETHUSDT,2022,candidate,dcv1_activo_15h,0.5,2.5,1.5,0.5 | 2.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.139,39.3,0.073,1.519,-0.862,7.77,-3.69,9.0,0,76,31
ETHUSDT,2022,candidate,dcv1_activo_15h,0.75,1.5,0.5,0.75 | 1.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.074,28.0,0.029,1.494,-0.542,3.09,-5.12,9.0,0,101,6
ETHUSDT,2022,candidate,dcv1_activo_15h,0.75,1.5,1.0,0.75 | 1.5 | 1.0,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.092,42.1,0.045,1.281,-0.851,4.86,-5.38,9.0,0,88,19
ETHUSDT,2022,candidate,dcv1_activo_15h,0.75,1.5,1.5,0.75 | 1.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.203,48.6,0.105,1.281,-1.007,11.26,-3.05,9.0,0,84,23
ETHUSDT,2022,candidate,dcv1_activo_15h,0.75,2.0,0.5,0.75 | 2.0 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.069,22.4,0.027,1.878,-0.508,2.9,-5.83,9.0,0,97,10
ETHUSDT,2022,candidate,dcv1_activo_15h,0.75,2.0,1.0,0.75 | 2.0 | 1.0,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.047,34.6,0.023,1.508,-0.762,2.49,-6.59,9.0,0,84,23
ETHUSDT,2022,candidate,dcv1_activo_15h,0.75,2.0,1.5,0.75 | 2.0 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.164,41.1,0.086,1.479,-0.887,9.16,-3.74,9.0,0,79,28
ETHUSDT,2022,candidate,dcv1_activo_15h,0.75,2.5,0.5,0.75 | 2.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.063,21.5,0.025,1.951,-0.502,2.67,-5.65,9.0,0,93,14
ETHUSDT,2022,candidate,dcv1_activo_15h,0.75,2.5,1.0,0.75 | 2.5 | 1.0,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.013,32.7,0.006,1.547,-0.742,0.69,-6.41,9.0,0,80,27
ETHUSDT,2022,candidate,dcv1_activo_15h,0.75,2.5,1.5,0.75 | 2.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.12,39.3,0.063,1.494,-0.862,6.72,-3.81,9.0,0,74,33
ETHUSDT,2022,candidate,dcv1_activo_15h,1.0,1.5,0.5,1.0 | 1.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.033,28.0,0.013,1.437,-0.542,1.36,-6.15,9.0,0,100,7
ETHUSDT,2022,candidate,dcv1_activo_15h,1.0,1.5,1.0,1.0 | 1.5 | 1.0,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.04,42.1,0.02,1.22,-0.851,2.13,-5.78,9.0,0,87,20
ETHUSDT,2022,candidate,dcv1_activo_15h,1.0,1.5,1.5,1.0 | 1.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.15,48.6,0.078,1.224,-1.007,8.29,-3.19,9.0,0,82,25
ETHUSDT,2022,candidate,dcv1_activo_15h,1.0,2.0,0.5,1.0 | 2.0 | 0.5,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.063,22.4,0.025,1.868,-0.508,2.66,-5.98,9.0,0,96,11
ETHUSDT,2022,anchor,dcv1_activo_15h,1.0,2.0,1.0,1.0 | 2.0 | 1.0,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.033,34.6,0.016,1.488,-0.762,1.75,-6.74,9.0,0,83,24
